boli,simptome
Leucemie,"""hemoragi, infecție, infiltrare, organ, tromboza, limfadenopatie, slăbiciune, oboseala, sângerare, trombocitopenie, leucopeni, trombocitopeni, pancitopenie, anemie, echimoză, trombocitemie, coagulopatia, hemoragiu, pulmonar, cerebral, imunodeficiență, secundar, hipogammaglobulinemie, neutropenie, discomfort, abdominal, hepatomegalie, hepatomegali, mielopatie, celulă, dermatită, infecțios, sindrom, Richter, hiperuricemie, liză, tumoral, hiperfosfatemie, hipocalcemie, hiperpotasemie"""
Leucoencefalita acuta hemoragica,"""iritație, febră, redoare, cefă, febra, slăbiciune, hipertensiune, Afectare, nerv, cranian, reflex, osteotendinoate, Tremor, parkinsonian, pseudotumorala, Criză, epileptic"""
Leucopenia,"""Astenie, fatigabilitate, Ulcerație, oral, colonic, infecție, polakiurie, disurie, leziune, tegumentare"""
Leucoplakia orala,"""mucoasă, oral, leziune, timpuriu, localizat, îngroșare, alb, fisurare, formare, de, ulcer, placă, Eroziune, ulcerație, neoplasm, planșeu, anterior, limbă"""
Leucoplaziile buzelor,"""placă, albicios, buză, mucoasă, jugal, gingie"""
Leucoreea,"""slăbiciune, general, letargi, durere, lombar, pruri, infecție, eritem, erupție, local, senzație, de, arsură, brânzoasă, chlamydie, stri, sânge, neoplazie, distensie, abdominal, membru, inferior"""
Leziunea Dieulafoy,"""Hemoragie, gastrointestinal, ace, vărsăt, cu, sânge, Rectoragie, sângerare, rectal, colonic, Sângerare, ocult, cronic, episod, hemoragic, hemoragiu, sever, hipotensiune, arterial, hemoglobină, durere, abdominal"""
Leziunea plexului brahial,"""slăbiciune, mușchi, arsură, de, braț, durere, sever, leziune"""
Leziuni ale pleoapelor in antrax,"""pleoape, edematia, leziune, papuloveziculoate, pleoapă, papular, veziculă, boală"""
Leziuni oculare in lepra,"""Afectare, tegument, palpebral, leziune, tegumentare, de, tip, papular, macular, al, piele, atrof, muscular, tulburare, sensibilitate, anestezie, hiperestezie, ulcerație, deget, Retracție, deformare, pleoapă"""
Leziuni traumatice ale creierului,"""confuzie, temporar, leziune, fatal, traumatism"""
Leziunile (fractura sau luxația) Lisfranc,"""durere, picior, sensibilitate, zonă, Deformare, articulație"""
Leziunile benigne ale cervixului,"""scurgere, mucoasă, gros, glandă, eroziune, retenție, Naboth, leziune, infecție, acid, purulent, Cervix, eritematos, difuz, cervicită, herpetic, noninfecțios, Ulcerație, extensiv, cataral, sifilis, primar, cervix, potasiu, polipă, hemangiom, ulcer, chimic, profund, durere, pelvină, disfuncție, menstrual, sângerare, postcoital, cronică, hiperplazie, microglandular, solid, papilom, Leiomiom, cervical, abdominal, ciclic, hematometru, agenezie, mullerian, intermenstrual"""
Leziunile coafei rotatorilor,"""durere, dureri, ruptură, slăbiciune, senzație, de"""
Leziunile de menisc,"""intoleranță, trosnire, genunchi, articulație, edem, durere, articular, ruptură, tip, joncțiune, menisco-capsular, sindrom, menisc, discoid, de, Umflare, intermitent, chist"""
Leziunile intestinale de iradiere,"""Anorexie, greața, vărsătură, Crampă, abdominal, Debacl, mucoide, rectal, Hemoragie, durere, obstrucție, intestinal, diaree, apos, cronic, bacteriană, vaginal, fistulă, Constipație, afectare, instalar, acut, toxemie, perforație, Paloare, general, conjunctival, anemie, sensibilitate, abdominala, examinare, Zgomotă, borborisment, audibil, sensibilitată, Singerare"""
Leziunile ligamentelor incrucisate ale genunchiului,"""ruptură, genunchi, Instabilitate, durere, senzație, de, alunecare"""
Leziunile pleoapelor in Moluscum contagiosum,"""gălbui, nodule, leziune, membrană, conjunctival"""
Leziunile tendonului calcanean / ahilean (tendonul lui Ahile),"""durere, brusca, gleznă, gambă, dificultate, de, ridicar"""
Lichen mixedematos,"""Papul, deget, Papulă, piele, papulă, picior, degetu, leziune, urticarian, indurat, Disfagie, slăbiciune, general, de, efort, afectare, pulmonar, Opacitate, cornean"""
Lichen scleros si lichen atrofic,"""plăci, alba, atrofie, dermic, papul, alb, poligonal, placă, pruri, genital, eroziune, cicatrizare, disfuncție, sexual, dispareunie, lichen, vulvar, disurie, singerar, genitală, fimoză, obstrucție, urinar, ostium, apendiceal, obliterare, labia, stenoza, inflamație, inel, piele, teleangiectazie"""
Lichen spinulosum,"""papul, folicular, Papul, keratozic, placă, gât, coapsă"""
Lichen striat,"""erupție, papul, lichenoidă, piele, componentă, vezicular, leziune, bilateral, Afectare, unghi, îngroșare, longitudinal, onicoliză, pierdere, unghie, hiperkeratoza, pat, unghial, subțiere, îngroșr, onicodistrofie, leuconichie, punctata, curbare"""
Lichenul plan cutanat,"""erupție, papulos, pruriginos, mână, pigmentare, maronie, leziune, mucoasă, oral, hipertrofic, membru, inferioare/glezn, senzație, arsură, Scuamă, organ, genital, membrană, stri, alb, conjunctiv, urinar, vaginal, tract, gastrointestinal, gland, papul, reticula, pană, eroziune, sever, afectare, vulvar, de, pruri, unghial, depresiune, cupuliform, rugozitate, hiperpigmentare, hiperkeratoză, subunghial, onicoliză, melanonichie, longitudinal, distrugere, matrică, pterigium, perifolicular, violacee, scuamos, pruriginoate, Alopecie, atrofica, cicatricial, atrofic, hipertrofice/inelare, placă, inelar, masculină, linear, inferior, numular, zonă, hipopigmentat"""
Limba fisurata,"""Afectare, fată, dorsal, limbă, fisură, iritație, detritus"""
Limba geografica,"""sensibilitate, eritem, limbă, papilă, filiform, hiperkeratozic, leziune, senzație, de, arsură, limbi"""
Limba neagră viloasă,"""limbă, hipertrofie, papilă, filiform, de, prurit, palat, Xerostomie, senzație, corp, tulburare, vomă, Hipercheratoză, gustativ"""
Limfadenita cu micobacterii netuberculoase,"""ganglioan, piele, Adenopatie, limfadenopatie"""
Limfadenita mezenterica,"""durere, abdominal, cadran, drept, febră, greața, vărsătură, Anorexie, infecție, al, tract, respirator, sensibilitate, rigiditate, sensibilitată, rectal, hiperemic, Limfadenopatie, periferic"""
Limfangiectazia intestinala (hipoproteinemia idiopatica),"""greața, vărsătură, emeză, vomă, Malabsorbtie, scaun, steatozic, durere, abdominal, Edemă, bilateral, unilateral, Limfocitopenie, Anergie"""
Limfangioleiomiomatoza,"""Colecție, chilos, chilotorax, chiloperitoneu, gazometrie"""
Limfangiomiomatoza (limfangioleiomiomatoza),"""cavitate, pleural, expectorație, cu, sânge, Hemoragie, abdominal, Chilurie, urină, scleroză, tuberos, afecțiune, epilepsie, retard, mintal, autism"""
Limfangita acuta,"""infecție, primar, limfatic, regional, Cordoană, durere, limfadenopatie, dureros, bășică, de, cap, Anorexie, poftă, mâncare, Crampă, muscular"""
Limfedemul,"""proteină, extremitățe, organ, genital, limfangită, patogen, piele, fara, durere, senzație, febră, slăbiciune, celulit, Ulcerare, verucos, infecție, membru, edem, nedureros, zonă, Îngroșare, lemnos, gros, aderent, placă, Limforee, Suprainfecție, crustă, galben"""
Limfoamele non-Hodgkin,"""ganglione, limfatic, axilar, inghinal, respirație, dificil, adenopatie, hilar, mediastinal, edem, al, față, abdominal, Constipație, Dispepsie, durere, membru, inferior, vas, intestin, subțire, Malabsorbție, toracal, toracic, Pleurezie, paraneoplazice, febră, hiperpigmentar, pruriginos, piele, Hemoragiu, intestinal, diseminare, risc, infecție"""
Limfoamele zonei marginale,"""limfatic, Infiltrare, măduvă, osos, febră, transpirat, profuză, nocturn, sindrom, dispeptic, nespecific, gastric, durere, epigastric, greață, sângerare, cronică, anemie, feripriv, intragastric, faldure, mucoasă, Eroziune, superficial, ulcer, Ptoză, ocular, edem, periorbital, de, motilitate, vedere, Papul, cutanat, Nodulă, Splenomegalie, izolat, asimptomatic, trombocitopenie, SMZL, Limfocitoză, celulă, bazofilă, sânge, periferic, Dispepsie, splenomegalie, hil, splenic, hemolitic, autoimun, imun, atingere, extraganglionar"""
Limfocitoza,"""ganglioan, de, tip, B, febra, simptom, transpirat, profuz, nocturn, celulă, sanguin, manifestare, autoimune, durere, osos, leucemie, acut, limfoblastic, abdominal, limfocitoză, instabilitate, hemodinamic, insuficiență, respiratoriu, sindrom, hemoragipar, epistaxite, sângerare, nazal, echimoză, b, hemoragic, Trombocitopenie"""
Limfogranulomatoza inghinală (boala Durand-Nicolas-Favre),"""genital, ulcerație, nedureros, limfadenopatie, regional, ganglioan, fistulizare, limfatic, durere, abdomen, inferior, febră, astenie, regiune, anal, sânge"""
Limfom Burkitt,"""Adenopatie, multiplu, ganglioan, occipital, submandibular, inghinal, epitrohleoolecranian, durere, abdominal, imunodeficiență, obstrucție, intestinal, Asimetrie, facil, tiroidă, amigdală, oasă, facial, cu, creștere, Simptomatologie, meningită, paralizie, nerv, cranian, oboseală, Anorexie"""
Limfomul cu celule de manta,"""boală, generalizat, febră, Splenomegalie, durere, abdominal, simptom, gastrointestinal, obstrucție, intestin, subțire, de, sânge, roșu, Polipoză, limfomatos, sistem, nervos, central, risc"""
Limfomul cutanat,"""cutanat, relief, rugos, usca, piele, proeminență, circumscris, tumoret, cutana, leziune, Eroziune, pierdere, superficial, Ulcerație, de, umed, durere, prurit, confluent, pruriginos, Limfadenopatie, dermatită, roșeață, descuamare, generalizat, sindrom, om, roșu, Sézary, febră, Anorexie, poftă, mâncare, Astenie, oboseală"""
Limfomul esofagian,"""disfagie, odinofagie, durere, toracic, oboseala, abdominal, hemoragie, obstrucție, esofag, ulcerație, esofagian, cronic, terapie, steroidian"""
Limfomul folicular,"""Adenopatie, difuza, nedureros, ganglioan, limfatic, durere, abdominal, senzație, de, sațietate, hepatosplenomegalie, febră, ficat, splină, atingere, cutanat, piele, tract, gastrointestinal, anexă, ocular, lichid, pleură, cavitate, celulă, sanguin, sânge, periferic, adenopatie, LDH"""
Limfomul gastric,"""durere, zonă, epigastric, greața, vărsătură, Meteorism, abdominal, slăbiciune, febră, Disfagie, sângerare, gastrointestinal, deficit, de, Limfadenopatie, superficial, ganglioan"""
Limfomul Hodgkin,"""Limfadenopatie, nedureros, limfatic, gât, axilar, inghinali, febră, oboseală, anemie, risc, infecție, sângerare, trombocitopenie, Menstruație, durere"""
Limfomul non-Hodgkin difuz cu celule B mari,"""Fatigabilita, Inapetență, poftă, de, mâncare, ganglioan, ficat, splină, nervos, central, sinus, febră, Obstrucție, Nefropatie, obstructiv, afectare, renal, calciu, sânge, dezechilibru, metabolic, Pleurezie, insuficiență, medular, măduvă, osos, Trombocitopenie, trombocită, Hemoliză, autoimun, distrugere, globulă, sistem, imun"""
Limfomul tiroidian,"""glandă, disfagie, dificultate, răguși, laringeu, edem, facial, afectare, pachet, vascular, Fatigabilitate, hipotiroidism, Tegument, Constipație, senzație, de, frig"""
Limfopenie (limfocitele scăzute),"""Limfopenia, ganglioan, infecție, Splenomegalie, splină, mărit, boală, autoimun, redoare, durere, impotentă, funcțional, leziune, cutanat, recurent, al, oportunist"""
Limfoproliferarea,"""Limfocitoză, Infiltrare, măduvă, osos, Fatigabilita, piele, ficat, sistem, nervos, central, țesut, Insuficiență, de, organ, Limfom, diseminat, BLPT, monoclonal"""
Lipedemul,"""membru, inferior, șold, Afectare, membră, superior, încheietură, edem, bilateral, echimoză, telangectazie, dilatație, al, vas, mic, durere"""
Lipodistrofia asociata HIV,"""grăsime, lipohipertrofie, lipoatrofie, gât, viscerală, țesut, braț, picior, fes, colesterol, rezistență, insulină, glicemie, glucoză, bazal, lipomatoză, Emanciere, tâmplă, umăr, coapsă, venă, superficial, Apolipoproteina, Apolipoproteină, Disfuncție, sexual, depresie, anxietate"""
Lipodistrofia generalizata,"""grăsime, subcutana, Hipertrigliceridemie, diabet, zahara, Ven, superficial, Xantom, eruptiv, Pancreati, recurent, rezistență, periferica, insulină, Hiperinsulinemie, Clitoromegalie, sindrom, ovar, polichistic, menastră, neregulat, hiperandrogenism, Hiperplazie, periculos, amigdală, faringian, congenitală, sprâncenă, Gigantism, acromegalic, Dentiție, avansat, hepatosplenomegalie, Cardiomegalie, Hipertrofie, disfuncție, stenoză, arterial, periferic, hipertensiune, pulmonar, anomalie, dentar, macrodontie, dinte, aberant, anemie, hemolitic, Nefrită, cronică"""
Lipodistrofia localizata,"""țesut, adipoate, leziune, atrofic, piele, oval, cutanat, margine, periferic, Lipodistrofie, limfatic, placă, subcutanat, lipoatrofie, multiplu, sensibil, eritematos, febră, intermitent, nodul, dureros, al, hiperkeratoză, teleangiectazie, ulcerație, paniculită, lupic"""
Lipofuscinozele neuronale ceroide (LNC),"""lipofuscină, neuron, celulă, tegumentar, mucoasă, rectal, demență, cerebral, cerebelara, Electroencefalogramă, vas, sangveni, retinian, vedere, Albinism, ocular, Hipotonie, defect, de, vorbire, Mioclonie, tulburare, comportamental, Diskinezie, orofacial"""
Lipogranulom,"""sensibilitate, palpare, durere, deformare, organ, limfatic, Supurație"""
Lipomul,"""nod, durere, angiolipom, inflamație, tulburare, de, deglutiție, respirație, asfixie, boală, Madelung, Dercum, problemă, psihic, lipom"""
Liposarcom,"""liposarcom, durere, tumoare, retroperitoneal, Ocluzie, intestinal, retroperitoneale/abdominal, obstrucție, urinar, retroperitoneale/pelvină"""
Lipotimia (lesinul),"""cunoștință, tonus, postural, senzație, de, cap, slăbiciune, picior, palpitație, tulburare, al, vedere, greață, diaforeză, transpirat, profuză, prodrom, post-episoda, Diaforeză, sincopă"""
Listerioza,"""durere, muscular, mialgiu, greața, vărsătură, emeză, vomă, ace, septicemie, Detresă, respiratoriu, leziune, cutanat, abcege, multiplu, ficat, splină, glandă, suprarenal, granulomatoză, septic, febră, stare, de, conștiență, Paralizie, nerv, coma, cef"""
Listerioza în sarcină,"""greața, vărsătură, durere, muscular, simptom, urinar, Icter, de, cap, confuzie, echilibru, boală, Detresă, respiratoriu, febră, erupție, cutanat"""
Litiaza biliara (calculi biliari),"""durere, intens, Greț, vărsătură, emeză, vomă, febră, lipidă, complicație, abdomen, persistent"""
Litiaza renala,"""durere, intens, colea, abdomen, inferior, regiune, inghinal, urină, urât, sânge, hematurie, greața, vărsătură, arsură, disurie, infecție, polakiurie, febră"""
Litiaza salivara (sialolitiaza),"""durere, discret, ureche, violent, colea, canal, excretoriu, Spasm, perete, canalicular, infecție, local, pericanalicular, periglandular, abces, mucoasă"""
Litiaza urinara la copil,"""sânge, urină, durere, abdominal, lombar, colică, renal, intens, unilateral, paroxistic, lombară, organ, genital, intern, coaapsă, de, efort, Disurie, Polakiurie, micțiune, senzație, imperios, agitație, retenție, ace, vezică, insuficiență, obstructiv"""
Litiaza urinară,"""durere, calcul, vezică, urinar, colică, renal, lomba, iradiere, genital, sânge, urină, Teneasmă, vezical, senzație, de, vărsătură, greața, Meteorism, abdominal, Subfebrilita, Paloare, anxietate, agitație, infecție, jos, pelvin, febră, lombar, piurie, Hematurie, macroscopic, anurie, insuficiență, Inapetență, poftă, mâncare, hipertensiune, arterial, intestinal, palpare, rinichi"""
Lohiometria,
Lombalgia acută,"""durere, inferior, variabilă, rigiditate, Spasmă, muscular, feș, coapce, picior, neurologic, sever, său, progresiv, Disfuncție, al, intestin, vezică, urinar, boală, sistemic"""
Lombalgia cronica nespecifica,"""durere, dorsală, lombosacral, recurent, membră, inferior, mecanică, rigiditate"""
Lombosciatica,"""durere, instalare, membru, inferior, localiza, teritoriu, rădăcină, coaapsă, genunchi, gambă, extern, picior, de, efort, defecație, ortostațiune, decubit, cifoză, regiune, lombar, palpare, median, nerv, sciatic, tulburare, deficit, motor, discret, lombosciatic, parezantă, mușchi, tibial, anterior, lateral, deget, L5, flexor, hipotonie, Hipoestezie, superficial, distal, Sciatalgie, bilateral, sindrom, coadă, cal, Paralizie, flsc, genito-sfincterian"""
Long covid sau sindromul post-Covid-19,"""oboseală, sever, pruri, durere, articular, muscular, dereglare, al, ciclu, menstrual, de, inflamație, mușchi, cardiace, persistent, dificultate, respirație, gât, vărsătură, gastric, afectare, amețeală, depresi, anxietate, ceață, cerebral, tinitune, acufen, vorbire, defici, motor, amnezia, tulburare, vedere, tahicardie, postural, sindrom, cronic, encefalomielit, mialgică, cap, excesiv, dispoziție"""
Loose anagen syndrome,"""durere, inflamație, cicatrizare"""
Lordoza,"""spate, inferior, proeminență, postură, durere, lombară, afectare, mișcare, nerve, parestezie, picior, slăbiciune, spasmă, muscular, tulburare, sfincterian, rectal"""
Lumbago,"""durere, lombar, jos, de, tip, mecanic, coloană, zonă, membru, inferior, senzație, amorțeală, parestezie, al, musculatură, Incontinență, urinar, membră, stenoză, spinal, sever, talie, spate, Spondilartropatii, inflamatoriu, joate, Anevrism, aortă, senzorial, erupție, localiza, lombosacrat, vertebral, dermatom, nerv, intervertebral, picior, osos, Paget, febră, infecție"""
Lupus eritematos discoid (lupusul eritematos cutanat cronic),"""eritemato-violacee, cutana, durere, ocazional, lezional, Artralgi, Scuamă, îngroșat, aderent, leziune, Hiperpigmentare, marginal, folicular, Alopecie, scalp, hipertrofic, verucos, Pleurită, Pericardită, afectare, renal"""
Lupusul eritematos sistemic - LES,"""asteni, febra, matinală, poliartrită, ace, cronică, articulație, distal, genunchi, leziune, sinovită, tendinită, deformare, dezaxare, articulare, osteonecroză, septic, de, fotosensibilitate, erite, facial, discoid, placă, eritematos, eritem, hiperkeratoză, reversibilă, hemoragica, subcutana, purpura, antebrață, membru, inferior, ulcerație, palatine, al, sept, nazal, gingivită, durere, muscular, oboseală, atrof, paralizie, pleurezia, pneumonie, acut, lupica, hemoragiu, alveolar, fibroză, pulmona, pericardita, endocardita, gangrenă, extremitățe, anorexi, greață, vărsătură, abdominal, hepatomegali, leucopeni, trombocitopeni, limfadenopatie, afectare, renal, proteinurie, sindrom, nefrotic, tulburare, cognitiv, afectiv, cerebrovasculara, polineuropatie"""
Lupusul eritematos sistemic și sarcina,"""plăci, eritematos, scuamă, cicatrică, atrofic, Ulcerație, oral, pleurezie, pericardită, anemie, hemolitic, autoimun, Leucopenie, Limfopenie, Trombocitopenie, afectare, renal, proteinurie, Ciliandru, celular, urină, anticorp, antinuclear, total, anomalie, imunologic, anticorpe, convulsie, cutana, său, cronic, nazal, manifestare, lupus, neonatal, erupție, cutanat, braț, scalp, trombocitopenie, tranzitorie, hepatite, bloc, atrioventricular"""
Lupusul neonatal,"""leziune, cutanat, placă, eritematos, inelar, scalp, membru, atrofic, cutana, Alopecie, telangiectazie, afectare, cardiace, bloc, atrioventricular, Bradicardie, miocard, defect, structural, cardiac, congenital, persistență, de, canal, arterial, sept, atrial, ventricular, anomalie, valvular, displazie, stenoză, regurgitație, tulburare, ritm, aritmie, tahicardiu, Extrasistol, disfuncție, nod, sinusal, hepatic, insuficiență, sever, hemocromatoză, Hiperbilirubinemie, transaminază, Steatoză, ficat, Splenomegalie, splină, hematologic, Anemie, hemolitic, Trombocitopenie, trombocită, erupție, peteșial, trombocitopenie, neurologic, splenic"""
Luxatia gleznei,"""Deformare, piele, sensibilitată, dureros, articular, sensibilitate, deformare, fract, picior, palid, insensibil, afectare"""
Luxația articulației temporomandibulare,"""durere, mandibulă, în, vorbire, hipersalivație, anxietate, regiune, preauricular, eminentă, articular, spasm, musculatură, masticatoriu"""
Luxația cotului,"""durere, deformare, regiune, cotu, Impotentă, edem, de, lichid, țesut, subcutanat, contralateral, antebraț, posterior, anormal"""
Luxația de rotulă,"""durere, persistent, rotulă, Afectare, edem, Deformare, vizibil, piele, țesut, zonă"""
Luxația degetelor de la picior,"""durere, umflare, cianoza, colorație, albăstrui, deget, difuza, parestezie, amorțeală, grosieră, degetu, edem, echimoză, sensibilitate, palpare, instabilitate, articulara"""
Luxația umărului,"""durere, impotentă, funcțional, parestezie, local, humeral"""
Macroanevrism retinian,"""vizual, pierdere, vedere, durere, Deteriorare"""
Macroglobulinemia Waldenstrom,"""Slăbiciune, Anorexie, periferica, febra, sângerare, Amețeala, vedere, problemă, auditiv, vizual, Diplopie, traumă, abdominal, Limfadenopatie, Purpura, manifestare, hemoragic, letargi, Comă, Sindrom, confuzie, pierdere, de, memorie, dezorientare, anomalie, venă, cirnat, Neuropatie, simetrică, senzomotorie, Sindro, Miller-Fisher, POEMS, polineuropatie, organomegalie, endocrinopatie, proteină, modificare, al, piele, cutanat, purpură, boală, papul, plăci, urticarie, cronică, acrocianoză, afectare, pulmonar, infiltrat, parenchimatos, pleurezie, insuficiență, cardiac, distensie, venos, jugular, ral, edem, periferic, proptoză, paralizie, nerve, normocitic, normocromă, Leucopenie, Trombocitopenie, neutropenie, Aglutinină, coagulare, Proteinuria, Bence-Jones"""
Hidrartroza,"""durere, traumatism, Tumefacție, umflare, genunchi, piele, rigiditate, articular"""
Hidrocefalia,"""Inapetență, vărsătură, tulburare, de, creștere, durere, cap, Diplopie, problemă, coordonare, edem, papilar, Hemoragiu, retinian, optic, hormonal, Disfuncție, cognitiv, modificare, personalitate"""
Hidrocefalia la copil,"""Iritabilita, vărsătură, inexplicabil, Șut, cranian, dehiscent, Tegument, al, scalp, subcutanat, ocular, Strabism, extern, pareză, de, nerv, optic, Criză, convulsiv, mișcare, tremor, vorbire, fluent, hidrocefalie, cronică, tulburare, diplegie, ataxic, hipotalamo-hipofizare, obezitate, acut, Paralizie, afectare, trunchi, cerebral, edem, papilar, comportament, sd., convergență, anomalie, pupilar, memorie, pana, comă"""
Hidrocefalia normotensiva,"""tulburare, de, picior, demență, incontinenta, urinr, durere, cap, infecție, centură, tub"""
Hidrocel,"""testiculă, de, fluid, vaginalis, hemiscrot, senzație, inghinal, durere, infecție, epididimal, acut"""
Hidronefroza (ureterohidronefroza),"""bazinet, renal, calică, infecție, urinar, Incontinență, durere, lombar, Inapetență, greața, Disurie, de, incontinență, sânge, urină, arsură, ITU, febră"""
Hidronefroza antenatală,"""renal, Vezică, urinar"""
Hidronefroza congenitala,"""durere, Greț, vărsătură, Inapetență, Constipație, Meteoris"""
Hidrosadenita supurativa,"""ocluzie, folicular, inflamație, cronică, cicatrizare, sinus, fistulă, nodulă, dureros, prurigean, plăci, indura, fibroză, dens, celulită, acut, febră, episod"""
Hidrosalpinx,"""durere, abdominal, salpingo-ooforită, acut"""
