Disease,Recommendations
Accident ischemic tranzitor,"Tratament etiologic (tratarea cauzei subiacente). Revascularizare (recomandată pentru stenoza simptomatică a arterei carotide interne cervicale ≥ 70%). Controlul factorilor de risc (hipertensiune, diabet, dislipidemie, fumat etc.)."
Accident vascular cerebral (AVC),"Tromboliză (administrare de rtPA). Neurochirurgie (pentru unele AVC hemoragice). Logopedie (terapie de vorbire). Fizioterapie. Prevenirea recurenței. Controlul și reducerea hipertensiunii arteriale. Endarterectomie carotidiană (la anumiți pacienți). Trombectomie mecanică (înlăturarea mecanică a trombului). Hemicraniectomie decompresivă (pentru edem cerebral malign). Monitorizarea nivelului de conștiență. Menținerea tensiunii arteriale, glicemiei și oxigenării la nivele optime. Recuperare medicală. Îngrijire medicală de calitate (îngrijirea pielii, alimentație, hidratare, poziționare, monitorizare semne vitale). Utilizarea scaunelor cu rotile și a bastoanelor. Reînvățarea sensibilității și mobilității. Managementul disfagiei (tub nasogastric, gastrostomă endoscopică percutană - PEG). Tratamentul spasticității (mobilizare precoce, elongarea mușchilor, întindere susținută). Electrostimulare. Stimulare magnetică transcraniană (terapie nouă). Stimulare electrică directă transcraniană (terapie nouă). Preventia primară: determinarea riscului cardiovascular, reducerea TA, controlul fibrilației atriale, controlul colesterolului, controlul diabetului. Renunțarea la fumat. Evitarea consumului excesiv de alcool și droguri. Combaterea sedentarismului. Managementul obezității. Alimentație sănătoasă. Diagnostic imagistic (CT, RMN, ecografie Doppler, arteriografie). Diagnostic clinic (examen neurologic). Teste de sânge (pentru cauze: colesterol, coagulare, etc.). Electrocardiogramă (ECG). Ecocardiogramă. Monitorizare Holter. Angiogramă cerebrală (în caz de suspiciune anevrism/MAV)."
Aceruloplasminemia,"Administrarea chelatorilor de fier pentru a reduce excesul de fier. Perfuzii intravenoase cu Desferioxamină. Administrarea Deferasiroxului sub formă de comprimate pentru dispersie orală. Administrarea Deferipronei (poate preveni degenerarea retinei și neurodegenerarea). Administrarea intravenoasă de Plasmă umană proaspăt congelată (PPC) pentru a furniza ceruloplasmină. Terapie combinată: PPC împreună cu desferioxamină pentru scăderea depozitelor hepatice de fier. Administrarea de antioxidanți (ex. Vitamina E) alături de chelatori de fier. Administrarea de Zinc pe cale orală pentru a preveni degradarea tisulară (hepatică, pancreatică). Tratarea individuală a simptomelor secundare (diabet, anemie, degenerare retiniană). Monitorizare anuală: test de rezistență la glucoză (începând cu 15 ani). Monitorizare anuală: evaluare cardiacă. Monitorizare anuală: evaluarea funcțiilor tiroidiene și hepatice. Monitorizare anuală: hemogramă. Evitarea suplimentelor pe bază de fier. Consultație genetică pentru diagnosticare și evaluarea riscului familial."
Acid folic scăzut,"Tratament pe termen lung sau pe viață (în funcție de cauză). Consumarea unor alimente bogate în folați: pâine, cereale fortificate cu acid folic, citrice, legume verzi cu frunze. Suplimentare cu acid folic la femeile aflate la vârsta fertilă, în special cele gravide."
Acidoza lactica,"Corectarea cauzei de fond. Optimizarea perfuziei tisulare cu oxigen. Suport respirator. Reinlocuire lichidiană. Evitarea medicamentelor vasoconstrictoare (pentru a nu agrava ischemia). Drenajul și debridarea unui focar septic (dacă este cazul). Întreruperea medicamentelor favorizante. Modificări ale dietei (în anumite tipuri de acidoză lactică congenitală). Dializă (pentru acidoză severă asociată cu insuficiență renală sau insuficiență cardiacă congestivă). Hemodializă sau hemofiltrare continuă (alături de infuzia de alcali pentru instabilitate cardiovasculară sau intoxicație cu biguanide). Terapia alcalină (controversată, potențial dăunătoare, utilizată în situații specifice precum dializa sau corectarea acidozei D-lactat). Antibiotice pentru reducerea bacteriilor producătoare de acid (în sindromul de intestin scurt/bypass gastric - acidoză D-lactat)."
Acidoza metabolica,"Tratarea cauzei de fond. Terapia cu alcali pentru a crește și menține pH-ul plasmei peste 7.2. Calcularea adecvată a dozei de bicarbonat. Monitorizarea și corectarea dezechilibrelor electrolitice (potasiu, fosfat). Refacerea volumului extracelular (ex: cu soluție salină în cetoacidoza diabetică). Diureză alcalină (în intoxicația cu salicilați). Hemodializă (în intoxicații severe sau cu complicații). Administrarea rapidă a tratamentului în intoxicații. Terapia cu alcali în insuficiența renală pentru prevenirea complicațiilor osoase și metabolice."
Acidoza respiratorie,"Tratamentul afecțiunii de bază care a dus la instalarea acidozei. Corectarea lentă a hipercapniei cronice pentru a evita alcaloza metabolică. Administrarea de bronhodilatatoare în cazul pacienților cu bronhospasm. Oxigenoterapie (indicată majorității pacienților pentru a corecta hipoxemia, cu prudență la pacienții cu BPOC). Suport ventilator (intubație orotraheală și ventilație cu presiuni pozitive) în cazuri severe sau condiție precară."
Acidoza tubulară renală,"Menținerea optimă a pH-ului sangvin. Corectarea acidozei metabolice. Tratamentul cauzal (unde este posibil). Menținerea nivelului bicarbonatului seric peste 20 mEq/L (în ATR tip 1). Corecția fosfaturiei (în ATR tip 2). Corecția hipokaliemiei (cu citrat de potasiu sau bicarbonat de potasiu în ATR tip 2). Corecția hiperkaliemiei prin restricție alimentară de potasiu (în ATR tip 4). Administrarea diureticelor (Furosemid) pentru corectarea hiperkaliemiei (în ATR tip 4). Alcalinizare (în unele cazuri de ATR tip 4). Monitorizarea electroliților serici (potasiu, bicarbonat, sodiu etc.). Monitorizarea pH-ului urinar și sangvin. Testul de acidifiere a urinei (cu clorură de amoniu sau combinația furosemid/fludrocortizon) pentru diagnostic. Osteodensitometria DEXA pentru diagnosticul osteomalaciei/osteopeniei. Investigații imagistice (Radiografie abdominală, Tomografie computerizată, Ecografie renală). Determinarea nivelului aldosteronului și al reninei plasmatice (pentru diagnostic ATR tip 4)."
Acidoza tubulară renală la copil,Terapie alcalină (scop: bicarbonat seric 22–24 mEq/L). Implant cohlear (pentru hipoacuzie/surditate). Expansiune volemică (pentru tip 4). Restricţie dietetică de potasiu (pentru tip 4). Monitorizare lunară a tratamentului (primele 6 luni). Monitorizare concentrație serică a bicarbonatului. Monitorizare raport urinar calciu/creatinină. Menținere valoare serică a bicarbonatului > 22 mEq/L. Monitorizare anuală ultrasonografică pentru nefrocalcinoză.
Aclorhidria si hipoclorhidria,Terapia de eradicare a Helicobacter pylori (dacă este prezentă infecția). Suplimentarea acizilor pe termen scurt. Consumul de oțet (cu precauții). Consumul de suc de lămâie împreună cu alimentele. Consumul de piper Cayenne (stimulează secreția gastrică). Tratamentul suprapopulării bacteriene cu antibiotice specifice. Tratamentul anemiei pernicioase (dacă este prezentă). Controlul bolilor autoimune asociate (ex. diabet). Intervenție chirurgicală (antrectomie) pentru tumorile carcinoide gastrice.
Acneea - cosurile,"Consult dermatologic pentru diagnostic corect și plan de tratament. Informarea pacientului despre boală, evoluție și tratament. Evitarea stoarcerii sau manipulării leziunilor acneice. Susținere psihologică sau consult psihiatric/psihologic (în special pentru acneea severă, escoriată sau cu impact emoțional mare). Evitarea substanțelor degresante agresive și a produselor pe bază de alcool. Evitarea preparatelor cu sulf (pot fi comedogene). Evitarea săpunurilor antibacteriene dure care pot irita pielea. Limitarea sau evitarea utilizării produselor cosmetice comedogene (uleioase, grase). Utilizarea produselor de îngrijire (curățare, hidratare) non-comedogene, adaptate tenului acneic. Utilizarea topicelor hidratante și emoliente pentru a contracara uscăciunea indusă de tratamentele anti-acnee. Aplicarea tratamentelor topice keratolitice și antibiotice seara, pentru a reduce riscul de fotosensibilizare. Igiena corectă a pielii cu produse blânde (săpunuri grase, loțiuni de curățire specifice). Utilizarea cremelor hidratante non-comedogene, preferabil emulsii apă în ulei (W/O). Evitarea loțiunilor după bărbierit care conțin alcool sau parfumuri iritante. Tratamente microchirurgicale efectuate de dermatolog (extracția comedoanelor, incizia și drenajul chistilor). Tratamente dermato-cosmetice (ex: peeling chimic, microdermabraziune). Tratamentul cicatricilor post-acnee (peelinguri chimice profunde, laser, microneedling, excizie chirurgicală, fillere). Acupunctura (menționată ca posibil tratament adjuvant). Colaborare strânsă între pacient și medicul dermatolog. Respectarea schemelor de tratament și controale medicale regulate. Tratament în echipă multidisciplinară în cazuri complexe (dermatolog, endocrinolog, ginecolog, chirurg plastician, psihiatru/psiholog). Prelevarea de probe pentru cultură bacteriană și antibiogramă doar în suspiciunea de foliculită Gram negativ supraadăugată. Evitarea autovaccinurilor (considerate ineficiente și potențial riscante). Evitarea radioterapiei."
Acneea juvenila,"Consult la medicul specialist dermatolog. Tratament topic (local). Tratament sistemic (general). Reducerea seboreei. Normalizarea keratinizarii infundibulare. Modificarea florei microbiene. Reducerea inflamatiei foliculare. Peelinguri chimice (cu acid salicilic, glicolic, Solutia Jessner etc.). Microdermabraziunea. Dermaroller. Tratament ajustat si personalizat. Respectarea tratamentului prescris (adesea de lunga durata). Evitarea stoarcerii leziunilor acasă. Utilizarea produselor adecvate de igiena a feței. Evitarea utilizarii produselor cosmetice și medicamentelor sistemice acneigene (ex: farduri, fond de ten ocluziv)."
Acneea la adulti,"Terapie hormonala (abordare generala pentru cazurile hormonale). Terapia fotodinamica (PDT) cu agenti fotosensibilizatori. Adoptarea unui stil de viata sanatos. Practicarea exercitiilor fizice in mod regulat. Respectarea orelor de somn. Alimentatie sanatoasa. Controlul stresului (ex: pauze, respiratie profunda). Alegerea produselor cosmetice si de ingrijire ""noncomedogenice"" si ""fara ulei"". Minimizarea numarului de produse cosmetice utilizate. Evitarea purtarii machiajului in timpul exercitiilor fizice. Evitarea atingerii fetei cu mainile (""mainile jos!""). Evitarea stoarcerii cosurilor. Dus imediat dupa exercitii fizice solicitante. Stergerea transpiratiei si schimbarea hainelor ude cat mai curand posibil. Evitarea purtarii hainelor stramte, benzilor sau palariilor care retin transpiratia. Spalarea frecventa a castilor sau echipamentelor cu bretele. Evitarea spalarii excesive si a produselor exfoliante dure sau pe baza de alcool. Spalarea usoara a fetei cu un sapun delicat (o data sau de doua ori pe zi) sau doar cu apa calduta. Consultarea unui medic dermatolog pentru evaluare si tratament personalizat."
Acneea vulgară,"Tratament topic (local) cu loțiuni, geluri, creme. Folosirea unei creme cu factor de protecție solară (la utilizarea retinoizilor topici). Peeling chimic (efectuat de medic). Dietă echilibrată. Evitarea dietei bogate în carbohidrați și zaharuri. Evitarea agresării mecanice (stoarcerii) comedoanelor sau pustulelor. Evitarea expunerii la ultraviolete (soare) fără cremă cu factor de protecție. Folosirea produselor de make-up și îngrijire necomedogenice. Evitarea produselor de îngrijire cu alcool sau parfum. Folosirea unui gel de curățare special pentru tenul predispus la acnee, care acționează blând. Evitarea aplicării unor creme grase, care conțin uleiuri sau alți iritanți. Colaborare bună medic-pacient pentru tratament pe termen lung."
Acondroplazie,"Initierea precoce a terapiei cu hormon de crestere. Interventii chirurgicale pentru probleme ortopedice. Laminectomii largi, multiple (pentru stenoza canalului medular). Foraminotomii (pentru stenoza canalului medular). Indepartarea herniei de disc (daca exista). Fuziune spinala (daca apare instabilitate post-laminectomie). Observatie pentru cifoza toracolombara la copilul care nu merge. Ortoza toracolombosacrala in extensie (pentru cifoza persistenta dupa mers). Chirurgie cu fuziune anterioara si posterioara (pentru cifoza severa persistenta dupa 5 ani). Corectia chirurgicala a genu varum (osteotomie tibiofibulara proximala sau epifiziodezis fibulara). Lungirea membrelor (osteogeneza). Decompresia foramenului magnum (laminectomie C1). Sunturi ventriculoperitoneale (pentru hidrocefalie progresiva). Tratament pentru apneea de somn obstructiva: adenotonsilectomie, reducerea greutatii, presiune pozitiva continua respiratorie (CPAP) prin masca nazala, traheostomie (cazuri extreme)."
Acrocianoza,Evitarea expunerii la temperaturi scăzute. Evitarea traumatismelor locale. Îmbunătățirea circulației locale. Schimbarea stilului de viață. Adoptarea unei diete corespunzătoare. Igienă adecvată. Tratamentul afecțiunii de bază (în acrocianoza secundară). Simpatectomie (în cazuri severe). Suprimarea chirurgicală a fibrelor nervoase relevante (în cazuri severe).
Acrodermatita enteropatica,"suplimentare cu zinc pe toata durata vietii (1-3 mg/kg/zi oral sau 300-1000 mcg/kg/zi IV). ajustarea dozei de zinc in timpul sarcinii sau stresului. oprirea terapiei cu zinc doar in cazul deficitului dobandit, dupa rezolvarea cauzei. aplicarea de comprese calde cu petroleum pe zonele afectate de dermatita cu cruste. interventie oculoplastica chirurgicala (reconstructia pleoapei, tarsorafie, terapie de epilare). reconstructia suprafetei oculare (transplant conjunctival, membrana amniotica umana). transplant cornean (in keratomalacie severa sau keratita infectioasa)."
Acrofobia - frica de înălțime,"Terapie cognitiv comportamentală (CBT). Desensibilizare sistematică. Expunere treptată la înălțime („scara fricii”). Tehnici de relaxare (respirație profundă, meditație, relaxare musculară). Restructurare cognitivă (identificarea, provocarea și înlocuirea gândurilor negative). Terapie prin realitate virtuală. Hipnoză. Gândire pozitivă. Meditație. Consultarea unui psiholog sau psihiatru. Concentrarea pe priveliște și sentimente pozitive. Evitarea aplecării în față sau privitului direct în jos. Ținerea de balustradă pentru siguranță. Exerciții de obișnuire cu înălțimea acasă (ex: echilibru pe scândură, cățărat)."
Acromegalia și gigantismul,Tratament chirurgical (prima linie de tratament). Rezecția adenomului hipofizar. Intervenție transsfenoidală. Radioterapie (pentru micșorarea adenomului nerezecabil sau ca tratament adjuvant). Radiochirurgia gamma-knife (când alte metode au eșuat). Monitorizarea periodică de către medicul curant a funcției hipofizare și a efectului terapiei.
Acromia,Nu există tratament curativ cunoscut pentru Albinism sau Vitiligo.
